Wert_ID;Wertbezeichnung;Klassifikationssystem_ID
AAA540v001;10,5;pc-5.1
AAA543v001;TGK;pc-5.1
AAA544v001;Spannen von Rahmen und Rundungen;pc-5.1
AAA545v001;Spannen und Spreizen;pc-5.1
AAA547v001;Verlegen von Parkett, Laminaten und Platten;pc-5.1
AAA549v001;I-Profil;pc-5.1
AAA550v001;Kurbel;pc-5.1
AAA552v001;Rändelschraube;pc-5.1
AAA555v001;Flügelschraube;pc-5.1
AAA556v001;Gussoberteil;pc-5.1
AAA557v001;Schienenende;pc-5.1
AAA558v001;Temperguss;pc-5.1
AAA559v001;DIN links;pc-5.1
AAA560v001;DIN rechts;pc-5.1
AAA561v001;Kunststoffbeschichtet;pc-5.1
AAA562v001;lackiert;pc-5.1
AAA563v001;Bronze;pc-5.1
AAA564v001;geschliffen;pc-5.1
AAA565v001;Lager;pc-5.1
AAA566v001;Neusilber;pc-5.1
AAA567v001;stahlgrau;pc-5.1
AAA568v001;Natur;pc-5.1
AAA569v001;dunkelbronze;pc-5.1
AAA570v001;festdrehend;pc-5.1
AAA571v001;gelocht für Buntbartschlüssel;pc-5.1
AAA572v001;gelocht für Profilzylinder;pc-5.1
AAA573v001;gelocht für Rundzylinder;pc-5.1
AAA574v001;Riegelolive, Schauscheibe, Dornrosette;pc-5.1
AAA575v001;Riegelolive, Schauscheibe, Schlitzkopf;pc-5.1
AAA576v001;Riegelolive, Dornrosette;pc-5.1
AAA577v001;Riegelolive, Schlitzkopf;pc-5.1
AAA578v001;Langschild;pc-5.1
AAA579v001;Kurzschild;pc-5.1
AAA580v001;Breitschild;pc-5.1
AAA581v001;sichtbar verschraubt;pc-5.1
AAA582v001;verdeckt verschraubt;pc-5.1
AAA583v001;durchgehend einseitig verdeckt verschraubt;pc-5.1
AAA584v001;durchgehend verdeckt verschraubt;pc-5.1
AAA585v001;durchgehend sichtbar verschraubt;pc-5.1
AAA589v001;feuerschutztauglich;pc-5.1
AAA590v001;massiv;pc-5.1
AAA592v001;Leichtmetall;pc-5.1
AAA593v001;Stahl, galvanisch verzinkt;pc-5.1
AAA594v001;4;pc-5.1
AAA595v001;7;pc-5.1
AAA596v001;Titan;pc-5.1
AAA597v001;fest;pc-5.1
AAA598v001;flüssig;pc-5.1
AAA600v001;stoffgemustert;pc-5.1
AAA606v001;Getriebe;pc-5.1
AAA607v001;Riementrieb;pc-5.1
AAA609v001;Chemie;pc-5.1
AAA610v001;Reinigung;pc-5.1
AAA611v001;Lebensmittelverarbeitung;pc-5.1
AAA612v001;Labor;pc-5.1
AAA613v001;Entsorgung;pc-5.1
AAA614v001;Druckerarbeiten;pc-5.1
AAA615v001;Petrochemie;pc-5.1
AAA616v001;Lackierarbeiten;pc-5.1
AAA617v001;Galvanotechnik;pc-5.1
AAA618v001;EN 374;pc-5.1
AAA619v001;EN 420;pc-5.1
AAA620v001;EN 388;pc-5.1
AAA621v001;Creme;pc-5.1
AAA622v001;Velourisierung;pc-5.1
AAA623v001;Trikot;pc-5.1
AAA624v001;Polyurethan;pc-5.1
AAA625v001;Vollbeschichtet;pc-5.1
AAA626v001;unbeschichtet;pc-5.1
AAA627v001;benoppt;pc-5.1
AAA628v001;beidseitig benoppt;pc-5.1
AAA629v001;benoppt und Fingerkuppenversiegelung;pc-5.1
AAA630v001;Curry;pc-5.1
AAA631v001;EN 407;pc-5.1
AAA632v001;Kälte;pc-5.1
AAA633v001;Hitze;pc-5.1
AAA634v001;Schweißer;pc-5.1
AAA635v001;Stich;pc-5.1
AAA636v001;Vibration;pc-5.1
AAA637v001;Ketten;pc-5.1
AAA638v001;Schnitt;pc-5.1
AAA639v001;stark;pc-5.1
AAA640v001;schwache Strahlung;pc-5.1
AAA641v001;mittlere Strahlung;pc-5.1
AAA642v001;starke Strahlung;pc-5.1
AAA643v001;< 100 °C;pc-5.1
AAA644v001;< 250 °C;pc-5.1
AAA645v001;< 350 °C;pc-5.1
AAA646v001;< 500 °C;pc-5.1
AAA647v001;< 700 °C;pc-5.1
AAA648v001;> 700 °C;pc-5.1
AAA649v001;< -20 °C;pc-5.1
AAA650v001;< -50 °C;pc-5.1
AAA651v001;> -50 °C;pc-5.1
AAA652v001;Haushalt;pc-5.1
AAA653v001;Reinigungsarbeiten mit schwachaggressiven Mitteln;pc-5.1
AAA654v001;Produktschutz im Lebensmittelbereich;pc-5.1
AAA655v001;Kontamination;pc-5.1
AAA657v001;EN 421;pc-5.1
AAA658v001;00;pc-5.1
AAA659v001;0;pc-5.1
AAA660v001;1;pc-5.1
AAA661v001;2;pc-5.1
AAA663v001;H;pc-5.1
AAA664v001;Z;pc-5.1
AAA665v001;M;pc-5.1
AAA666v001;Profil;pc-5.1
AAA667v001;EN 60903;pc-5.1
AAA668v001;Medizin;pc-5.1
AAA669v001;Produktschutz;pc-5.1
AAA674v001;Lebensmittelbereich;pc-5.1
AAA675v001;medizinische Untersuchung;pc-5.1
AAA676v001;EN 455;pc-5.1
AAA678v001;Moosgummi;pc-5.1
AAA679v001;unvelourisiert;pc-5.1
AAA680v001;EN 511;pc-5.1
AAA681v001;EN 1149/2;pc-5.1
AAA682v001;DIN 6901;pc-5.1
AAA683v001;mit Kreuzschlitz nach DIN 7981;pc-5.1
AAA684v001;mit Längsschlitz nach DIN 7971;pc-5.1
AAA685v001;mit Scheibe nach DIN 6903;pc-5.1
AAA686v001;mit Sechskant nach DIN 7976;pc-5.1
AAA687v001;mit Spitze;pc-5.1
AAA688v001;mit Zapfen;pc-5.1
AAA689v001;Alu-Legierung = Hohlniet/Stahl verzinkt = Nietdorn;pc-5.1
AAA690v001;Alu-Legierung = Hohlniet/Stahl phosphatiert = Nietdorn;pc-5.1
AAA691v001;Edelstahl A2 = Nietdorn und Hohlniet;pc-5.1
AAA692v001;Kupfer = Hohlniet / Stahl verzinkt = Nietdorn;pc-5.1
AAA693v001;DIN 976;pc-5.1
AAA694v001;Form B;pc-5.1
AAA695v001;mit Kegelkuppe;pc-5.1
AAA696v001;DIN 913;pc-5.1
AAA697v001;DIN 914;pc-5.1
AAA698v001;DIN 915;pc-5.1
AAA699v001;DIN 916;pc-5.1
AAA700v001;ISO 4026;pc-5.1
AAA701v001;ISO 4027;pc-5.1
AAA702v001;ISO 4028;pc-5.1
AAA703v001;ISO 4029;pc-5.1
AAA704v001;mit Ringschneide;pc-5.1
AAA705v001;DIN 417;pc-5.1
AAA706v001;DIN 438;pc-5.1
AAA707v001;DIN 551;pc-5.1
AAA708v001;DIN 553;pc-5.1
AAA709v001;ISO 4766;pc-5.1
AAA710v001;ISO 7434;pc-5.1
AAA711v001;ISO 7435;pc-5.1
AAA712v001;ISO 7436;pc-5.1
AAA713v001;mit Schlitz und Kegelkuppe;pc-5.1
AAA714v001;mit Schlitz und Ringschneide;pc-5.1
AAA715v001;mit Schlitz und Spitze;pc-5.1
AAA716v001;mit Schlitz und Zapfen;pc-5.1
AAA717v001;Stahl Festigkeitsklasse 5.6;pc-5.1
AAA718v001;vierreihig;pc-5.1
AAA719v001;DIN 1052;pc-5.1
AAA720v001;Typ D - zweiseitig verzahnt;pc-5.1
AAA721v001;Typ E - einseitig verzahnt;pc-5.1
AAA722v001;zweiseitig;pc-5.1
AAA723v001;Typ B = für Beton;pc-5.1
AAA724v001;Typ H = für Holz;pc-5.1
AAA725v001;mit Schlitz;pc-5.1
AAA726v001;Stahl Festigkeitsklasse 8.8;pc-5.1
AAA727v001;mit metrischem Feingewinde;pc-5.1
AAA728v001;DIN 1804;pc-5.1
AAA729v001;Stahl 6 AU;pc-5.1
AAA730v001;DIN 935;pc-5.1
AAA731v001;DIN 937;pc-5.1
AAA732v001;mit Regelgewinde;pc-5.1
AAA733v001;DIN 466;pc-5.1
AAA734v001;DIN 467;pc-5.1
AAA735v001;flache Form;pc-5.1
AAA736v001;hohe Form;pc-5.1
AAA737v001;DIN 582;pc-5.1
AAA738v001;Stahl Werkstoff C 15;pc-5.1
AAA739v001;DIN 431;pc-5.1
AAA741v001;DIN 1587;pc-5.1
AAA742v001;DIN 917;pc-5.1
AAA743v001;DIN 986;pc-5.1
AAA744v001;mit großen Schlüsselweiten für HV-Verbindung;pc-5.1
AAA746v001;DIN 6331;pc-5.1
AAA747v001;DIN 6915;pc-5.1
AAA748v001;DIN 936;pc-5.1
AAA749v001;DIN 982;pc-5.1
AAA750v001;ISO 4032;pc-5.1
AAA751v001;ISO 4035;pc-5.1
AAA752v001;ISO 7414;pc-5.1
AAA753v001;ISO 8674;pc-5.1
AAA754v001;DIN 6330;pc-5.1
AAA755v001;DIN 6334;pc-5.1
AAA757v001;DIN 980;pc-5.1
AAA758v001;DIN 985;pc-5.1
AAA759v001;ISO 4033;pc-5.1
AAA760v001;ISO 7042;pc-5.1
AAA761v001;ISO 8673;pc-5.1
